N,p,theory_mean,mc_mean,abs_err_mean,theory_std,mc_std,abs_err_std,rel_err_mean_in_std
10,0.10,6.400000,6.393440,-0.006560,2.429815,2.424837,-0.004978,2.70e-03
10,0.30,1.600000,1.603660,+0.003660,3.121538,3.117070,-0.004468,1.17e-03
10,0.50,0.000000,-0.002750,-0.002750,3.162278,3.161655,-0.000623,8.70e-04
10,0.70,1.600000,1.597430,-0.002570,3.121538,3.116127,-0.005411,8.23e-04
10,0.90,6.400000,6.399870,-0.000130,2.429815,2.438613,+0.008798,5.35e-05
25,0.10,16.000000,16.001470,+0.001470,3.841875,3.841191,-0.000683,3.83e-04
25,0.30,4.000000,4.004280,+0.004280,4.935585,4.947669,+0.012083,8.67e-04
25,0.50,0.000000,0.006190,+0.006190,5.000000,4.995218,-0.004782,1.24e-03
25,0.70,4.000000,4.007980,+0.007980,4.935585,4.925848,-0.009737,1.62e-03
25,0.90,16.000000,16.007470,+0.007470,3.841875,3.846502,+0.004628,1.94e-03
50,0.10,32.000000,32.002850,+0.002850,5.433231,5.427102,-0.006129,5.25e-04
50,0.30,8.000000,8.000040,+0.000040,6.979971,6.970742,-0.009229,5.73e-06
50,0.50,0.000000,-0.007210,-0.007210,7.071068,7.056502,-0.014566,1.02e-03
50,0.70,8.000000,7.996930,-0.003070,6.979971,6.990437,+0.010466,4.40e-04
50,0.90,32.000000,32.007670,+0.007670,5.433231,5.441613,+0.008382,1.41e-03
100,0.10,64.000000,64.005830,+0.005830,7.683749,7.660204,-0.023545,7.59e-04
100,0.30,16.000000,15.981340,-0.018660,9.871170,9.884686,+0.013516,1.89e-03
100,0.50,0.000000,0.015290,+0.015290,10.000000,10.017731,+0.017731,1.53e-03
100,0.70,16.000000,15.973010,-0.026990,9.871170,9.884229,+0.013059,2.73e-03
100,0.90,64.000000,63.962850,-0.037150,7.683749,7.699843,+0.016094,4.83e-03
200,0.10,128.000000,128.017440,+0.017440,10.866462,10.869918,+0.003456,1.60e-03
200,0.30,32.000000,32.017170,+0.017170,13.959943,13.962288,+0.002346,1.23e-03
200,0.50,0.000000,0.000790,+0.000790,14.142136,14.165802,+0.023666,5.59e-05
200,0.70,32.000000,32.032290,+0.032290,13.959943,13.966216,+0.006273,2.31e-03
200,0.90,128.000000,127.996720,-0.003280,10.866462,10.871980,+0.005517,3.02e-04
