student_a_zero_based,student_b_zero_based,student_a_one_based,student_b_one_based,similarity,hamming_distance,null_tail_probability_at_least_this_sim
85,1351,86,1352,50,0,6.421319136302338e-15
85,1906,86,1907,50,0,6.421319136302338e-15
85,3542,86,3543,50,0,6.421319136302338e-15
85,5362,86,5363,50,0,6.421319136302338e-15
1351,1906,1352,1907,50,0,6.421319136302338e-15
1351,3542,1352,3543,50,0,6.421319136302338e-15
1351,5362,1352,5363,50,0,6.421319136302338e-15
1906,3542,1907,3543,50,0,6.421319136302338e-15
1906,5362,1907,5363,50,0,6.421319136302338e-15
3542,5362,3543,5363,50,0,6.421319136302338e-15
